epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.31,0,430.897,0,0,0,0,0,0,456.889,0,0.00044,0.00044,0.00044
2,757.747,0,326.096,0,0,0,0,0,0,237.608,0,0.00089406,0.00089406,0.00089406
3,1113.98,0,273.009,0,0,0,0,0,0,10700.7,0,0.00134205,0.00134205,0.00134205
4,1469.5,0,234.834,0,0,0,0,0,0,313448,0,0.00178396,0.00178396,0.00178396
5,1823.82,0,196.113,0,0,0,0,0,0,3579.04,0,0.0019472,0.0019472,0.0019472
6,2178.79,0,166.491,0,0,0,0,0,0,71.3933,0,0.001934,0.001934,0.001934
7,2532.86,0,135.384,0,0,0,0,0,0,75.5926,0,0.0019208,0.0019208,0.0019208
8,2887.16,0,108.422,0,0,0,0,0,0,103.787,0,0.0019076,0.0019076,0.0019076
9,3241.36,0,84.461,0,0,0,0,0,0,89.7413,0,0.0018944,0.0018944,0.0018944
10,3597.9,0,65.8386,0,0,0,0,0,0,67.6574,0,0.0018812,0.0018812,0.0018812
11,3952.99,0,49.8637,0,0,0,0,0,0,171.044,0,0.001868,0.001868,0.001868
12,4307.09,0,37.7525,0,0,0,0,0,0,33.2644,0,0.0018548,0.0018548,0.0018548
13,4662.19,0,27.7247,0,0,0,0,0,0,26.4567,0,0.0018416,0.0018416,0.0018416
14,5017.76,0,20.1482,0,0,0,0,0,0,18.0081,0,0.0018284,0.0018284,0.0018284
15,5372.03,0,14.8595,0,0,0,0,0,0,13.7441,0,0.0018152,0.0018152,0.0018152
1,347.007,0,433.281,0,0,0,0,0,0,476.845,0,0.00044,0.00044,0.00044
